"nodeTO","nodeFROM","nodeWEIGHT"
"sheep","goat","1"
"gorrilla","crab","1"
"gorrilla","lobster","1"
"gorrilla","hen","1"
"llama","cat","1"
"llama","dog","1"
"llama","alpaca","1"
"llama","turtle","1"
"llama","dragon","1"
"coyote","raccoon","1"
"coyote","lion","1"
"coyote","possum","1"
"coyote","chimpanzee","1"
"iguana","elephant","1"
"iguana","lion","1"
"iguana","flamingo","1"
"lamb","cat","1"
"lamb","pony","1"
"lamb","goldfish","1"
"walrus","penguin","1"
"walrus","lion","1"
"walrus","seal","1"
"walrus","sting.ray","1"
"walrus","girafe","1"
"walrus","jelly.fish","1"
"chimpanzee","lion","1"
"chimpanzee","crow","1"
"chimpanzee","racoon","1"
"chimpanzee","armadillo","1"
"chimpanzee","possum","1"
"chimpanzee","coyote","1"
"chimpanzee","ant.eater","1"
"chimpanzee","grasshopper","1"
"chimpanzee","hornet","1"
"leopard","bear","1"
"leopard","tiger","1"
"leopard","panda","1"
"hare","dog","1"
"hare","monkey","1"
"hare","rabbit","1"
"hare","peacock","1"
"peacock","dog","1"
"peacock","rabbit","1"
"peacock","hare","1"
"platypus","shrimp","1"
"platypus","oyster","1"
"platypus","clam","1"
"platypus","ram","1"
"cougar","cat","1"
"cougar","jaguar","1"
"cougar","panther","1"
"koala","cat","1"
"koala","dolphin","1"
"koala","kangaroo","1"
"salamander","racoon","1"
"salamander","squirrel","1"
"salamander","lemur","1"
"beaver","rat","1"
"beaver","mouse","1"
"beaver","octopus","1"
"beaver","clown.fish","1"
"beaver","otter","1"
"antelope","possum","1"
"antelope","anteater","1"
"antelope","grasshopper","1"
"tigers","bears","1"
"tigers","lions","1"
"tigers","elephants","1"
"lemur","cat","1"
"lemur","racoon","1"
"lemur","squirrel","1"
"lemur","salamander","1"
"owl","cat","1"
"owl","bird","1"
"owl","shark","1"
"liger","bear","1"
"liger","tiger","1"
"liger","sloth","1"
"mountain.lion","jaguar","1"
"mountain.lion","cheetah","1"
"mountain.lion","panther","1"
"hedgehog","dog","1"
"hedgehog","bear","1"
"hedgehog","panda","1"
"dinosaur","cat","1"
"dinosaur","snake","1"
"dinosaur","spider","1"
"dinosaur","girrafe","1"
"gerbil","cat","1"
"gerbil","rat","1"
"gerbil","mouse","1"
"gerbil","kitten","1"
"gerbil","turlte","1"
"bug","jellyfish","1"
"bug","pelican","1"
"bug","ants","1"
"goose","dog","1"
"goose","lion","1"
"goose","duck","1"
"goose","swan","1"
"kitten","rat","1"
"kitten","mouse","1"
"kitten","gerbil","1"
"kitten","beetle","1"
"eel","deer","1"
"eel","badger","1"
"eel","catfish","1"
"rooster","cat","1"
"rooster","cow","1"
"rooster","frog","1"
"pelican","seahorse","1"
"pelican","jellyfish","1"
"pelican","bug","1"
"pelican","oyster","1"
"pelican","panther","1"
"pelican","ants","1"
"swan","lion","1"
"swan","duck","1"
"swan","goose","1"
"oyster","seahorse","1"
"oyster","cheetah","1"
"oyster","jellyfish","1"
"oyster","shrimp","1"
"oyster","platypus","1"
"oyster","pelican","1"
"oyster","panther","1"
"oyster","lobster","1"
"oyster","clam","1"
"oyster","ram","1"
"oyster","boar","1"
"anteater","armadillo","1"
"anteater","possum","1"
"anteater","antelope","1"
"anteater","grasshopper","1"
"girrafe","cat","1"
"girrafe","spider","1"
"girrafe","dinosaur","1"
"snakes","elephant","1"
"snakes","panda.bear","1"
"snakes","birds","1"
"snakes","frogs","1"
"snakes","lizards","1"
"ladybug","shark","1"
"ladybug","falcon","1"
"ladybug","dove","1"
"ladybug","seagull","1"
"ladybug","goldfish","1"
"fly","cat","1"
"fly","dog","1"
"fly","ant","1"
"fly","cheeta","1"
"panther","cat","1"
"panther","jaguar","1"
"panther","cheetah","1"
